Column fy Mpa,Beam fy Mpa,Columns 1-3 I mm4*10^6,Columns 4-6 I mm4*10^6,Columns 1-3 A mm2,Columns 4-6 A mm2,Beam I mm4*10^6,Spans,Number of floors,Floor height m,Span width m,LLRS tributary width m,Floor mass kg,Facade Load kN/m,PGA g,Magnitude,Distance to fault km,Period s,Max drift mm,Final Dead Load,Final Live Load,soil_class__B,soil_class__C
355.0,355.0,450.7,330.9,15898.0,14276.0,3.178,5.0,6.0,3.0,3.0,6.0,40380.12,4.0,0.3,6.6,10.27,2.440432031964277,59.2515446189686,4.0,10.0,1.0,0.0
355.0,275.0,10.33,0.0,3142.0,0.0,117.7,4.0,1.0,3.5,7.0,6.0,111008.6208,0.0,0.283,7.28,19.74,1.3018324169849644,63.054686826248805,9.0,3.0,0.0,1.0
235.0,235.0,1412.0,1119.0,22646.0,21176.0,231.3,3.0,6.0,4.0,3.0,8.0,51099.2064,0.0,0.2,6.77,23.99,1.1284224508563483,22.397229491341,24.0,16.0,0.0,1.0
275.0,275.0,36.92,0.0,5383.0,0.0,19.43,6.0,3.0,3.0,6.0,12.0,96912.28800000002,0.0,0.283,7.28,19.74,1.755767893785796,45.827480234598,2.0,10.0,0.0,1.0
355.0,355.0,637.2,0.0,17803.0,0.0,671.2,5.0,1.0,4.0,7.0,4.5,71950.032,0.0,0.3,6.6,10.27,0.1918641336114354,6.9515788772544,6.0,3.0,1.0,0.0
235.0,235.0,6447.0,5538.0,40005.0,34685.0,482.0,3.0,6.0,3.5,8.0,16.0,295370.3808,4.0,0.123,6.19,12.9,1.8034139912265528,9.2212507623922,24.0,16.0,0.0,1.0
235.0,235.0,1119.0,0.0,21176.0,0.0,19.43,1.0,2.0,3.0,4.0,12.0,19529.2944,3.0,0.15,6.2,13.91,0.3553392662816904,8.072272327361599,6.0,3.0,1.0,0.0
235.0,235.0,330.9,276.9,14276.0,13347.0,1752.0,2.0,5.0,4.0,5.0,7.5,53942.13,1.0,0.15,6.33,18.96,1.1279139418788429,24.278152789748102,9.0,4.5,0.0,1.0
275.0,235.0,182.6,0.0,11253.0,0.0,5.412,4.0,1.0,3.0,5.0,1.5,9197.694,1.0,0.1,6.1,32.84,0.1372225759020034,0.6511195403892,3.0,1.5,1.0,0.0
235.0,235.0,229.3,182.6,12437.0,11253.0,13.17,3.0,4.0,4.0,5.0,9.0,71644.122,1.0,0.14,5.9,25.5,3.0669493789830944,10.995200323256999,6.0,6.0,0.0,1.0
355.0,235.0,450.7,330.9,15898.0,14276.0,57.9,6.0,5.0,4.0,8.0,1.5,45813.081600000005,0.0,0.123,6.19,12.9,1.5406665375291944,11.0418833768345,9.0,1.5,0.0,1.0
355.0,235.0,182.6,0.0,11253.0,0.0,162.7,1.0,1.0,4.0,8.0,16.0,62552.4768,1.0,0.1,6.69,35.66,0.6012192965984361,18.3959590664729,16.0,8.0,1.0,0.0
235.0,235.0,25.1,0.0,4525.0,0.0,38.92,1.0,3.0,3.5,5.0,18.0,76191.984,4.0,0.123,6.19,12.9,3.493302794705027,20.8308391434842,18.0,6.0,0.0,1.0
355.0,355.0,637.2,0.0,17803.0,0.0,117.7,3.0,3.0,3.0,8.0,15.0,286331.76,4.0,0.3,6.6,10.27,1.5119103336350284,36.9665976245974,15.0,12.5,1.0,0.0
275.0,235.0,25.1,0.0,4525.0,0.0,920.8,4.0,3.0,3.0,3.0,14.0,84969.5616,0.0,0.1,6.1,32.84,1.328222299457327,15.1812907546202,14.0,14.0,1.0,0.0
355.0,235.0,1119.0,0.0,21176.0,0.0,57.9,1.0,3.0,3.5,8.0,6.0,25500.6576,3.0,0.171,6.0,17.28,0.8724434456760133,17.368899376562798,4.5,6.0,0.0,1.0
355.0,355.0,3034.0,2153.0,28583.0,26048.0,83.56,6.0,5.0,4.0,4.0,6.0,39645.936,2.0,0.2,6.77,23.99,0.7612840531900427,20.1786883852709,3.0,15.0,0.0,1.0
275.0,275.0,136.7,0.0,9726.0,0.0,231.3,3.0,1.0,4.0,5.0,4.0,48741.66,2.0,0.15,6.33,18.96,0.3685916638561387,11.8493073630591,12.0,10.0,0.0,1.0
275.0,275.0,1119.0,0.0,21176.0,0.0,27.72,6.0,3.0,4.0,6.0,6.0,63139.824,3.0,0.3,6.6,10.27,0.8680975607031476,44.1467747133402,2.0,10.0,1.0,0.0
235.0,235.0,182.6,136.7,11253.0,9726.0,83.56,3.0,4.0,3.5,6.0,6.0,79707.9096,1.0,0.15,6.2,13.91,1.7208558978974051,17.0434788946237,18.0,12.0,1.0,0.0
275.0,275.0,54.1,0.0,6434.0,0.0,13.17,4.0,2.0,3.0,4.0,2.5,23534.676,2.0,0.2,6.77,23.99,0.6277587291556379,23.3762318989785,10.0,7.5,0.0,1.0
235.0,235.0,77.63,54.1,7684.0,6434.0,231.3,2.0,4.0,3.5,8.0,24.0,243553.3056,3.0,0.1,6.1,32.84,3.5780093606297347,17.2810813108974,20.0,12.0,1.0,0.0
275.0,275.0,6.062,0.0,2534.0,0.0,83.56,4.0,2.0,3.0,6.0,18.0,241399.6992,0.0,0.123,6.19,12.9,3.2788816860217307,29.3781353594791,15.0,6.0,0.0,1.0
235.0,235.0,3034.0,2153.0,28583.0,26048.0,1412.0,6.0,4.0,4.0,5.0,6.0,48823.236,3.0,0.123,6.19,12.9,0.3171992422837474,0.750372570526,3.0,12.0,0.0,1.0
355.0,355.0,330.9,0.0,14276.0,0.0,920.8,5.0,3.0,3.0,5.0,12.0,133478.73,1.0,0.1,6.1,32.84,0.5475545822778444,16.937933379560203,6.0,10.0,1.0,0.0
355.0,235.0,869.7,637.2,19754.0,17803.0,337.4,2.0,5.0,4.0,3.0,12.0,36023.9616,4.0,0.1,6.1,32.84,0.927132194907209,8.4237666890964,6.0,2.0,1.0,0.0
235.0,235.0,25.1,16.73,4525.0,3877.0,337.4,1.0,6.0,3.5,8.0,6.0,30036.2832,1.0,0.15,6.2,13.91,3.347071558046852,10.0055388719227,7.5,4.5,1.0,0.0
275.0,275.0,104.5,77.63,8682.0,7684.0,83.56,4.0,4.0,4.0,3.0,6.0,38177.56800000001,3.0,0.15,6.2,13.91,1.2009363871845655,9.7526596230971,9.0,15.0,1.0,0.0
355.0,355.0,1119.0,869.7,21176.0,19754.0,337.4,5.0,4.0,3.5,5.0,6.0,125219.16,4.0,0.123,6.19,12.9,0.7777813006930329,5.5360339902173,18.0,15.0,0.0,1.0
275.0,275.0,869.7,0.0,19754.0,0.0,8.693,4.0,3.0,3.5,3.0,15.0,85410.07199999999,4.0,0.171,6.0,17.28,1.1740258992883408,35.233602868556595,9.0,9.0,0.0,1.0
275.0,235.0,104.5,0.0,8682.0,0.0,920.8,5.0,2.0,3.0,3.0,7.0,45356.256,1.0,0.354,6.5,15.82,0.3431589357794365,16.245120506899,10.5,14.0,1.0,0.0
275.0,275.0,10.33,6.062,3142.0,2534.0,57.9,5.0,4.0,4.0,4.0,4.0,34669.8,3.0,0.283,7.28,19.74,2.5273037006766965,33.721585785847104,8.0,20.0,0.0,1.0
275.0,275.0,229.3,182.6,12437.0,11253.0,231.3,1.0,5.0,4.0,7.0,24.0,84663.6516,3.0,0.283,7.28,19.74,3.0760350490468493,36.363117314757105,12.0,16.0,0.0,1.0
355.0,275.0,637.2,0.0,17803.0,0.0,920.8,5.0,1.0,3.5,3.0,20.0,72908.55,1.0,0.1,6.1,32.84,0.1494016439997519,0.8305769953489,4.0,20.0,1.0,0.0
275.0,275.0,36.92,0.0,5383.0,0.0,671.2,2.0,2.0,3.5,3.0,3.0,7611.0408,4.0,0.171,6.0,17.28,0.4047502663361562,12.1357177716735,1.5,3.0,0.0,1.0
235.0,235.0,1119.0,0.0,21176.0,0.0,920.8,1.0,2.0,3.5,5.0,1.5,4660.029,2.0,0.1,6.69,35.66,0.1252073927360282,0.6465474666182001,4.5,6.0,1.0,0.0
275.0,275.0,869.7,637.2,19754.0,17803.0,231.3,5.0,5.0,3.0,5.0,20.0,278378.1,2.0,0.15,6.2,13.91,1.440580399422036,10.5051039872782,16.0,20.0,1.0,0.0
275.0,275.0,1119.0,0.0,21176.0,0.0,13.17,5.0,2.0,4.0,5.0,12.0,67606.11,3.0,0.2,6.77,23.99,0.5748544908282,21.2558056178971,3.0,9.0,0.0,1.0
235.0,235.0,450.7,330.9,15898.0,14276.0,38.92,2.0,6.0,4.0,3.0,6.0,22759.704,4.0,0.14,5.9,25.5,1.872306825658018,6.9441353565849,9.0,15.0,0.0,1.0
355.0,275.0,104.5,0.0,8682.0,0.0,57.9,1.0,2.0,3.0,6.0,14.0,25778.016,2.0,0.3,6.6,10.27,0.7558891046444328,35.444310344787695,3.5,17.5,1.0,0.0
235.0,235.0,276.9,0.0,13347.0,0.0,83.56,2.0,3.0,3.5,8.0,10.5,72635.27040000001,0.0,0.354,6.5,15.82,1.4340987431863832,37.6409248251319,14.0,3.5,1.0,0.0
235.0,235.0,1119.0,869.7,21176.0,19754.0,19.43,4.0,6.0,3.0,6.0,5.0,30346.272,0.0,0.283,7.28,19.74,1.4363897380053432,20.0093980796733,5.0,5.0,0.0,1.0
355.0,355.0,229.3,0.0,12437.0,0.0,5.412,6.0,2.0,3.0,4.0,2.0,18158.8176,3.0,0.15,6.2,13.91,0.375849540704366,9.6217619087045,2.0,8.0,1.0,0.0
275.0,275.0,1119.0,0.0,21176.0,0.0,920.8,6.0,1.0,3.5,3.0,8.0,101382.6528,4.0,0.171,6.0,17.28,0.1321916034409308,1.3039405000598998,10.0,8.0,0.0,1.0
235.0,235.0,450.7,0.0,15898.0,0.0,19.43,4.0,1.0,3.5,6.0,1.5,21034.3716,3.0,0.1,6.1,32.84,0.161867002833694,0.9952100803891999,4.5,3.0,1.0,0.0
235.0,235.0,54.1,0.0,6434.0,0.0,8.693,6.0,2.0,3.5,4.0,8.0,24277.0176,0.0,0.15,6.33,18.96,0.7128843529754131,31.3048217223392,4.0,4.0,0.0,1.0
235.0,235.0,869.7,637.2,19754.0,17803.0,38.92,1.0,4.0,3.5,4.0,16.0,44948.376,3.0,0.14,5.9,25.5,1.7277129044872743,11.3960364101344,16.0,20.0,0.0,1.0
235.0,235.0,229.3,182.6,12437.0,11253.0,162.7,2.0,6.0,4.0,8.0,6.0,81902.304,4.0,0.3,6.6,10.27,3.192962941470145,35.959052909159695,9.0,7.5,1.0,0.0
235.0,235.0,25.1,0.0,4525.0,0.0,38.92,1.0,1.0,3.5,4.0,10.5,36749.988000000005,4.0,0.2,6.77,23.99,0.8556340266322816,60.4769406781701,17.5,17.5,0.0,1.0
275.0,275.0,54.1,36.92,6434.0,5383.0,83.56,6.0,5.0,4.0,8.0,18.0,295044.0768,4.0,0.171,6.0,17.28,4.921095302738434,20.411519526552997,6.0,12.0,0.0,1.0
275.0,235.0,4221.0,3034.0,32053.0,28583.0,19.43,2.0,4.0,4.0,3.0,9.0,17424.6336,1.0,0.283,7.28,19.74,0.691904639859944,23.807816715586302,6.0,9.0,0.0,1.0
275.0,275.0,450.7,330.9,15898.0,14276.0,162.7,6.0,4.0,3.0,7.0,12.0,332095.896,2.0,0.354,6.5,15.82,1.5395858328640348,33.2029811604184,20.0,20.0,1.0,0.0
355.0,235.0,104.5,0.0,8682.0,0.0,920.8,1.0,2.0,4.0,3.0,1.5,4698.777599999999,3.0,0.1,6.69,35.66,0.3045529922327553,2.6039632013926,9.0,1.5,1.0,0.0
355.0,355.0,1119.0,0.0,21176.0,0.0,57.9,4.0,1.0,3.5,6.0,4.0,76485.6576,4.0,0.171,6.0,17.28,0.1934371739159016,2.5664900575203,24.0,8.0,0.0,1.0
355.0,235.0,25.1,16.73,4525.0,3877.0,57.9,1.0,6.0,3.0,3.0,5.0,11726.55,4.0,0.1,6.69,35.66,2.0112288299130165,12.2844901963464,7.5,12.5,1.0,0.0
235.0,235.0,136.7,0.0,9726.0,0.0,27.72,1.0,1.0,3.5,5.0,9.0,35628.318,4.0,0.123,6.19,12.9,0.5103095403696393,3.6441050475647,7.5,4.5,0.0,1.0
275.0,235.0,1119.0,0.0,21176.0,0.0,83.56,1.0,1.0,3.0,7.0,9.0,25655.652,2.0,0.354,6.5,15.82,0.1467273926657256,3.8476757003645,6.0,15.0,1.0,0.0
355.0,355.0,229.3,182.6,12437.0,11253.0,19.43,4.0,4.0,3.0,6.0,7.5,53044.794,3.0,0.171,6.0,17.28,1.5535371308588564,20.566086760248798,3.0,1.5,0.0,1.0
355.0,275.0,637.2,450.7,17803.0,15898.0,1412.0,3.0,5.0,3.0,5.0,21.0,136925.316,3.0,0.123,6.19,12.9,0.8925542181428122,5.779068262223,10.5,10.5,0.0,1.0
235.0,235.0,1119.0,0.0,21176.0,0.0,920.8,1.0,2.0,4.0,3.0,6.0,12505.6008,4.0,0.15,6.33,18.96,0.2147157915166841,2.5637634288088,9.0,6.0,0.0,1.0
275.0,275.0,1752.0,1412.0,24164.0,22646.0,671.2,5.0,4.0,3.5,3.0,9.0,85348.89,0.0,0.283,7.28,19.74,0.4573605867076775,13.9860782304054,15.0,15.0,0.0,1.0
355.0,355.0,1119.0,0.0,21176.0,0.0,117.7,6.0,1.0,4.0,8.0,3.0,41921.9064,1.0,0.354,6.5,15.82,0.1436236758965914,3.81250416331,6.0,6.0,1.0,0.0
355.0,355.0,637.2,450.7,17803.0,15898.0,920.8,6.0,4.0,4.0,8.0,14.0,423901.5264,2.0,0.14,5.9,25.5,1.4657618774460293,7.9046259793449005,17.5,14.0,0.0,1.0
275.0,275.0,77.63,0.0,7684.0,0.0,920.8,4.0,2.0,4.0,5.0,3.0,9054.936,0.0,0.3,6.6,10.27,0.3217452756299046,9.2992865898775,3.0,6.0,1.0,0.0
275.0,275.0,1412.0,1119.0,22646.0,21176.0,231.3,4.0,6.0,3.0,5.0,8.0,120650.904,3.0,0.283,7.28,19.74,1.2041857868692365,20.6443337554942,12.0,6.0,0.0,1.0
355.0,235.0,1119.0,0.0,21176.0,0.0,162.7,2.0,2.0,4.0,7.0,4.0,18501.4368,0.0,0.15,6.2,13.91,0.3260977421689887,5.2502921462226,12.0,4.0,1.0,0.0
275.0,275.0,1119.0,0.0,21176.0,0.0,920.8,4.0,1.0,3.5,4.0,12.0,84447.4752,4.0,0.3,6.6,10.27,0.1459111798924789,2.7309084001887003,12.0,8.0,1.0,0.0
355.0,235.0,1119.0,0.0,21176.0,0.0,671.2,4.0,3.0,3.5,4.0,12.0,60170.4576,4.0,0.1,6.69,35.66,0.3621801310607177,3.3222706079928,6.0,3.0,1.0,0.0
275.0,275.0,637.2,0.0,17803.0,0.0,57.9,3.0,3.0,4.0,6.0,8.0,61557.2496,2.0,0.15,6.33,18.96,1.1243982594342103,38.3138745559016,12.0,12.0,0.0,1.0
355.0,235.0,3.492,0.0,2124.0,0.0,337.4,1.0,3.0,3.5,3.0,3.0,4111.430400000001,0.0,0.123,6.19,12.9,1.5416840343745404,15.61489758059,6.0,3.0,0.0,1.0
275.0,275.0,16.73,10.33,3877.0,3142.0,38.92,2.0,4.0,3.0,6.0,16.0,33674.5728,0.0,0.14,5.9,25.5,2.311399154840655,8.1164841322771,4.0,12.0,0.0,1.0
275.0,275.0,10.33,0.0,3142.0,0.0,920.8,4.0,3.0,4.0,8.0,24.0,221168.8512,1.0,0.283,7.28,19.74,4.943940596411724,259.6156368026265,8.0,12.0,0.0,1.0
275.0,275.0,1119.0,0.0,21176.0,0.0,5.412,6.0,1.0,4.0,3.0,14.0,115120.0512,0.0,0.1,6.1,32.84,0.2559397683126639,3.7842892816374003,14.0,7.0,1.0,0.0
275.0,235.0,637.2,0.0,17803.0,0.0,83.56,5.0,1.0,3.0,6.0,24.0,474038.136,2.0,0.354,6.5,15.82,0.4263282845466016,28.4473696219143,24.0,4.0,1.0,0.0
275.0,275.0,1119.0,0.0,21176.0,0.0,83.56,1.0,1.0,3.0,8.0,10.5,25659.7308,3.0,0.1,6.1,32.84,0.1477237740149212,0.8131376918926,3.5,14.0,1.0,0.0
235.0,235.0,5538.0,4221.0,34685.0,32053.0,1119.0,1.0,4.0,3.0,6.0,1.5,4111.430400000001,0.0,0.1,6.69,35.66,0.1637671347059559,0.9419621287709,6.0,3.0,1.0,0.0
275.0,275.0,330.9,0.0,14276.0,0.0,117.7,1.0,1.0,4.0,6.0,12.0,58514.4648,3.0,0.15,6.2,13.91,0.4810117777817022,10.7309848045766,18.0,9.0,1.0,0.0
235.0,235.0,1119.0,0.0,21176.0,0.0,920.8,4.0,3.0,3.0,4.0,6.0,34066.137599999995,0.0,0.1,6.1,32.84,0.2199653087282832,1.1127358000243,4.5,3.0,1.0,0.0
355.0,355.0,1119.0,0.0,21176.0,0.0,162.7,4.0,3.0,4.0,3.0,3.0,13655.8224,2.0,0.15,6.33,18.96,0.2878554822113488,2.9162317341643997,6.0,9.0,0.0,1.0
235.0,235.0,4221.0,3034.0,32053.0,28583.0,337.4,4.0,5.0,3.5,3.0,7.5,36342.108,0.0,0.14,5.9,25.5,0.4471246876760668,3.4129667680808,7.5,10.0,0.0,1.0
355.0,235.0,182.6,0.0,11253.0,0.0,162.7,2.0,1.0,3.5,7.0,17.5,153893.124,1.0,0.1,6.1,32.84,0.6177589009939896,43.6081160380794,17.5,14.0,1.0,0.0
235.0,235.0,450.7,330.9,15898.0,14276.0,8.693,5.0,5.0,3.0,3.0,10.0,71379.0,2.0,0.354,6.5,15.82,1.945375960183061,34.0913164665736,7.5,12.5,1.0,0.0
275.0,275.0,182.6,0.0,11253.0,0.0,27.72,2.0,1.0,4.0,5.0,15.0,87694.2,2.0,0.283,7.28,19.74,0.6786372087103438,46.2511174591815,10.0,12.5,0.0,1.0
235.0,235.0,136.7,104.5,9726.0,8682.0,671.2,2.0,4.0,3.5,6.0,5.0,27939.78,1.0,0.171,6.0,17.28,0.846444074751748,11.0770786592968,7.5,12.5,0.0,1.0
355.0,235.0,25.1,0.0,4525.0,0.0,117.7,1.0,1.0,3.5,4.0,18.0,25419.0816,4.0,0.2,6.77,23.99,0.6569735338124025,37.3291245337967,3.0,3.0,0.0,1.0
355.0,275.0,4221.0,3034.0,32053.0,28583.0,1412.0,4.0,4.0,4.0,4.0,3.0,39319.632000000005,4.0,0.1,6.1,32.84,0.3100430523957068,2.6538490196240003,15.0,15.0,1.0,0.0
355.0,275.0,869.7,637.2,19754.0,17803.0,920.8,6.0,5.0,3.0,5.0,10.0,187420.86,1.0,0.123,6.19,12.9,0.7566265534481239,4.1567134452529,12.5,10.0,0.0,1.0
275.0,235.0,6447.0,5538.0,40005.0,34685.0,83.56,1.0,6.0,3.5,7.0,24.0,83851.9704,2.0,0.171,6.0,17.28,2.279440194665809,17.1062957180173,16.0,4.0,0.0,1.0
275.0,235.0,77.63,0.0,7684.0,0.0,8.693,1.0,1.0,4.0,3.0,9.0,11563.398,0.0,0.171,6.0,17.28,0.4658766685869294,23.8579621296031,9.0,15.0,0.0,1.0
275.0,275.0,229.3,182.6,12437.0,11253.0,83.56,3.0,6.0,3.5,5.0,4.5,37045.701,4.0,0.171,6.0,17.28,1.6707612818938835,20.7090163304103,4.5,6.0,0.0,1.0
235.0,235.0,16.73,10.33,3877.0,3142.0,38.92,1.0,6.0,4.0,6.0,4.0,9356.7672,1.0,0.171,6.0,17.28,3.468241176187433,29.9927658584693,12.0,4.0,0.0,1.0
275.0,275.0,77.63,0.0,7684.0,0.0,920.8,4.0,2.0,3.5,4.0,2.0,16249.9392,4.0,0.3,6.6,10.27,0.3304472396396158,9.6446515815129,4.0,4.0,1.0,0.0
235.0,235.0,36.92,25.1,5383.0,4525.0,57.9,4.0,6.0,4.0,6.0,24.0,159758.43839999998,0.0,0.3,6.6,10.27,5.952709130012634,44.3692976283312,8.0,12.0,1.0,0.0
355.0,235.0,54.1,0.0,6434.0,0.0,920.8,5.0,2.0,3.5,6.0,10.5,219949.29,4.0,0.14,5.9,25.5,1.2267998593332232,9.3480465852743,17.5,17.5,0.0,1.0
275.0,275.0,16.73,0.0,3877.0,0.0,920.8,1.0,3.0,4.0,5.0,9.0,35383.59,1.0,0.2,6.77,23.99,2.5009676923547266,56.525130355024196,9.0,7.5,0.0,1.0
235.0,235.0,4221.0,3034.0,32053.0,28583.0,57.9,6.0,6.0,4.0,4.0,18.0,253538.208,4.0,0.14,5.9,25.5,2.3903601807979595,9.021375797287199,12.0,15.0,0.0,1.0
275.0,275.0,276.9,0.0,13347.0,0.0,920.8,3.0,2.0,3.5,8.0,20.0,114206.4,1.0,0.283,7.28,19.74,0.5893897270981954,26.95113989139,4.0,20.0,0.0,1.0
235.0,235.0,6.062,0.0,2534.0,0.0,162.7,3.0,1.0,3.0,7.0,10.5,134049.76200000002,4.0,0.123,6.19,12.9,1.6316431927416162,26.891886489762403,14.0,17.5,0.0,1.0
235.0,235.0,10.33,0.0,3142.0,0.0,83.56,2.0,1.0,3.5,6.0,24.0,134649.3456,3.0,0.15,6.33,18.96,1.870011098126658,152.06464189423292,12.0,16.0,0.0,1.0
355.0,355.0,1119.0,869.7,21176.0,19754.0,5.412,2.0,4.0,4.0,4.0,4.0,16184.6784,2.0,0.2,6.77,23.99,1.3003005977735898,43.2035058495419,6.0,8.0,0.0,1.0
355.0,355.0,4221.0,3034.0,32053.0,28583.0,8.693,4.0,6.0,4.0,4.0,4.0,17685.6768,2.0,0.1,6.1,32.84,1.19772943813267,9.2324604876828,2.0,8.0,1.0,0.0
355.0,235.0,330.9,0.0,14276.0,0.0,920.8,4.0,2.0,4.0,5.0,6.0,40461.696,4.0,0.2,6.77,23.99,0.3396352546155393,9.5416396041433,4.0,2.0,0.0,1.0
355.0,275.0,1752.0,1412.0,24164.0,22646.0,671.2,2.0,6.0,3.0,7.0,3.0,27564.5304,1.0,0.171,6.0,17.28,0.6214481068798591,8.568199860939899,15.0,12.0,0.0,1.0
235.0,235.0,229.3,182.6,12437.0,11253.0,38.92,5.0,4.0,3.0,3.0,12.5,149386.05,4.0,0.171,6.0,17.28,1.5483330302532483,20.043329894826897,15.0,10.0,0.0,1.0
235.0,235.0,1119.0,0.0,21176.0,0.0,38.92,5.0,3.0,4.0,3.0,5.0,44866.8,2.0,0.1,6.1,32.84,0.6404305176566873,26.4893400027003,10.0,12.5,1.0,0.0
235.0,235.0,104.5,0.0,8682.0,0.0,13.17,4.0,2.0,3.0,5.0,12.5,43847.1,0.0,0.354,6.5,15.82,0.7669232287969526,38.7043764863406,2.5,7.5,1.0,0.0
235.0,235.0,1119.0,869.7,21176.0,19754.0,162.7,3.0,4.0,3.0,3.0,16.0,44777.0664,2.0,0.1,6.69,35.66,0.5496633892385461,6.0578102829214,8.0,8.0,1.0,0.0
355.0,355.0,1119.0,0.0,21176.0,0.0,162.7,6.0,2.0,3.5,4.0,12.5,72296.73,1.0,0.1,6.69,35.66,0.2947509983498474,2.7853121471019,2.5,12.5,1.0,0.0
275.0,235.0,104.5,77.63,8682.0,7684.0,117.7,3.0,4.0,3.0,8.0,2.0,33707.2032,2.0,0.14,5.9,25.5,1.0384885914604582,4.4442287136197,10.0,6.0,0.0,1.0
235.0,235.0,16.73,10.33,3877.0,3142.0,337.4,5.0,5.0,3.0,6.0,20.0,173145.06,3.0,0.2,6.77,23.99,3.5042321116861217,109.622405737863,8.0,8.0,0.0,1.0
355.0,355.0,229.3,0.0,12437.0,0.0,482.0,5.0,2.0,3.0,5.0,4.0,69441.56999999999,1.0,0.354,6.5,15.82,0.3380845434614356,14.416580891338,12.0,4.0,1.0,0.0
355.0,235.0,6.062,0.0,2534.0,0.0,671.2,2.0,1.0,3.5,6.0,10.0,46335.168,4.0,0.2,6.77,23.99,1.384301911145957,71.2246850893321,4.0,6.0,0.0,1.0
275.0,235.0,1119.0,0.0,21176.0,0.0,920.8,6.0,2.0,3.5,3.0,3.0,17620.416,0.0,0.123,6.19,12.9,0.1104772337142118,0.42862498492629997,3.0,7.5,0.0,1.0
275.0,275.0,276.9,229.3,13347.0,12437.0,83.56,6.0,6.0,4.0,4.0,17.5,244972.728,0.0,0.354,6.5,15.82,3.2179599523087794,25.7957666935607,17.5,10.5,1.0,0.0
275.0,275.0,637.2,450.7,17803.0,15898.0,1119.0,4.0,6.0,3.0,8.0,7.5,65485.134000000005,1.0,0.1,6.1,32.84,0.7563884927529679,14.0874559733675,3.0,3.0,1.0,0.0
355.0,355.0,136.7,0.0,9726.0,0.0,920.8,5.0,1.0,4.0,8.0,6.0,89896.75200000001,2.0,0.2,6.77,23.99,0.3886423494390547,14.443310474462901,6.0,2.0,0.0,1.0
